 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1   2               0
2018                                                             8400.   8400.   8400.   8400.   8128. 
2019     8139.   8146.   8128.   9938.   9942.   9913.   9966.  10464.  10461.  10463.  10461.  10461. 
2020    10463.  10462.  10463.  10461.  10461.  10463.  10464.  10463.  10463.  10463.  10461.  10463. 
2021    10461.  10462.  10464.  10461.  10461.  10463.  10464.  10463.  10463.  10463.  10461.  10461. 
2022    10461.  10464.  10463.  10461.  10463.  10463.  10463.  10464.  10463.  10461.  10461.  10464. 

2018                                                             3936.   3944.   5565.   5566.   3750. 
2019     3759.   3763.   3750.   5174.   5173.   5180.   5167.   6921.   6958.   6938.   6957.   6954. 
2020     6938.   6943.   6938.   6958.   6954.   6940.   6921.   6938.   6940.   6938.   6957.   6938. 
2021     6954.   6946.   6921.   6958.   6954.   6940.   6921.   6938.   6940.   6938.   6957.   6954. 
2022     6954.   6928.   6938.   6958.   6938.   6940.   6938.   6921.   6940.   6954.   6957.   6921. 
   1  11               0
2018                                                             4000.   4000.   4000.   4000.   4000. 
2019     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000. 
2020     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000. 
2021     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000. 
2022     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000. 

2018                                                             3451.   3440.   3558.   3151.    701. 
2019      716.    725.    701.    714.   1123.   1105.   1138.   3558.   3558.   3558.   3151.   3151. 
2020     3151.   3151.   3151.   3151.   3558.   3558.   3558.   3558.   3558.   3558.   3151.   3151. 
2021     3151.   3151.   3151.   3151.   3558.   3558.   3558.   3558.   3558.   3558.   3151.   3151. 
2022     3151.   3151.   3151.   3151.   3558.   3558.   3558.   3558.   3558.   3558.   3151.   3151. 
   3  11               0
2018                                                             3921.   3937.   3928.   3936.   3935. 
2019     3928.   3924.   3935.   3929.   3928.   3937.   3921.   3921.   3937.   3928.   3936.   3935. 
2020     3928.   3930.   3928.   3937.   3935.   3929.   3921.   3928.   3929.   3928.   3936.   3928. 
2021     3935.   3932.   3921.   3937.   3935.   4129.   4121.   4128.   4129.   4128.   4136.   4135. 
2022     4135.   4124.   4128.   4137.   4128.   4129.   4128.   4121.   4129.   4135.   4136.   4121. 

2018                                                             4700.   4700.   4700.   4700.   4700. 
2019     4700.   4700.   4700.   4700.   4700.   4700.   4700.   4700.   4700.   4700.   4700.   4739. 
2020     4737.   4738.   4737.   4739.   4739.   4738.   5122.   5114.   5113.   5114.   5105.   5114. 
2021     5106.   5110.   5122.   5104.   5106.   5238.   5251.   5239.   5238.   5239.   5226.   5228. 
2022     5228.   5246.   5239.   5226.   5239.   5238.   5239.   5251.   5238.   5228.   5226.   5251. 
   4  11               0
2018                                                            99999.  99999.  99999.  99999.  99999. 
2019    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2020    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2021    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 
2022    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999. 

2018                                                             4688.   4749.   4669.   4631.   4517. 
2019     4705.   4768.   4873.   4889.   4855.   4662.   4700.   4986.   5050.   4966.   4926.   4806. 
2020     5075.   5142.   5253.   5271.   5235.   5029.   5070.   5373.   5441.   5352.   5310.   5182. 
2021     5480.   5552.   5670.   5689.   5650.   5431.   5475.   5797.   5870.   5776.   5731.   5594. 
2022     5913.   5989.   6116.   6135.   6094.   5861.   5907.   6251.   6329.   6228.   6180.   6035. 
   1   3               0
2018                                                              690.    690.    690.    790.    790. 
2019     1000.   1000.   1000.   1000.   1000.    810.    810.    690.    690.    690.    790.    790. 
2020      840.    840.    840.    840.    840.    600.    843.    849.    850.    849.    856.    849. 
2021      855.    852.    843.    857.    855.    850.    843.    849.    850.    849.    856.    855. 
2022      855.    845.   2949.   2957.   2949.   2950.   2949.   2943.   2950.   2955.   2956.   2943. 

2018                                                             1000.   1000.   1000.   1000.   1000. 
2019     1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000.   1000. 
2020     1000.   1000.   1000.   1000.   1000.   1000.   1200.   1200.   1200.   1200.   1200.   1200. 
2021     1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200.   1200. 
2022     1200.   1200.   4926.   4922.   4926.   4925.   4926.   4929.   4925.   4922.   4922.   4929. 
   1   4               0                                                                              
2018                                                              644.      0.   2000.   2000.   2000.
2019     2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.
2020     2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.
2021     2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.
2022     2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.   2000.

2018                                                             4000.   4000.   4000.   4000.   4000.
2019     4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   4000.   8000.
2020     8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.
2021     8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.
2022     8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.   8000.
 999
 MERCADO DE ENERGIA TOTAL
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2018                                                            38248.  39154.  40339.  39661.  39674. 
2019    41771.  43453.  42499.  41045.  39651.  38995.  38920.  39964.  40821.  41507.  40809.  40822. 
2020    43185.  44924.  43937.  42434.  40993.  40315.  40237.  41317.  42203.  42911.  42190.  42204. 
2021    44707.  46507.  45486.  43930.  42438.  41736.  41655.  42773.  43690.  44424.  43677.  43691. 
2022    46289.  48153.  47095.  45485.  43940.  43213.  43129.  44287.  45236.  45996.  45223.  45237. 
POS     46289.  48153.  47095.  45485.  43940.  43213.  43129.  44287.  45236.  45996.  45223.  45237. 
   2
2018                                                            11084.  11035.  11373.  11634.  11765. 
2019    12739.  13229.  12511.  11629.  11368.  11406.  11554.  11591.  11449.  11670.  11938.  12073. 
2020    13170.  13676.  12934.  12022.  11753.  11792.  11945.  11983.  11837.  12065.  12342.  12481. 
2021    13663.  14188.  13417.  12472.  12192.  12233.  12392.  12431.  12279.  12516.  12804.  12948. 
2022    14227.  14773.  13971.  12987.  12695.  12738.  12903.  12945.  12786.  13033.  13332.  13483. 
POS     14227.  14773.  13971.  12987.  12695.  12738.  12903.  12945.  12786.  13033.  13332.  13483. 
   3
2018                                                            10339.  10551.  11144.  11269.  11265. 
2019    11523.  11536.  11743.  11548.  11273.  10980.  10808.  10968.  11257.  11549.  11679.  11676. 
2020    11998.  12011.  12227.  12024.  11738.  11433.  11253.  11420.  11721.  12025.  12161.  12157. 
2021    12473.  12487.  12711.  12500.  12202.  11885.  11699.  11872.  12185.  12501.  12642.  12638. 
2022    13008.  13022.  13256.  13036.  12726.  12395.  12201.  12381.  12708.  13037.  13184.  13180. 
POS     13008.  13022.  13256.  13036.  12726.  12395.  12201.  12381.  12708.  13037.  13184.  13180. 
   4
2018                                                             5462.   5642.   5869.   5832.   5716. 
2019     5905.   5968.   6073.   6089.   6055.   5862.   5900.   6185.   6250.   6166.   6127.   6006. 
2020     6275.   6342.   6454.   6471.   6434.   6229.   6270.   6573.   6641.   6552.   6510.   6382. 
2021     6680.   6751.   6870.   6889.   6850.   6631.   6674.   6997.   7070.   6975.   6931.   6794. 
2022     7113.   7189.   7316.   7335.   7294.   7061.   7107.   7451.   7529.   7428.   7380.   7235. 
POS      7113.   7189.   7316.   7335.   7294.   7061.   7107.   7451.   7529.   7428.   7380.   7235. 
 999
 GERACAO DE USINAS NAO SIMULADAS
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2018                                                             5493.   5309.   5109.   5040.   4354. 
2019     3118.   3186.   3596.   4802.   5551.   5593.   5577.   5599.   5415.   5211.   5116.   4423. 
2020     3201.   3266.   3672.   4875.   5616.   5653.   5636.   5662.   5456.   5260.   5164.   4485. 
2021     3268.   3338.   3748.   4954.   5696.   5730.   5718.   5744.   5528.   5321.   5236.   4559. 
2022     3377.   3451.   3852.   5075.   5822.   5854.   5832.   5858.   5640.   5429.   5326.   4638. 
   2
2018                                                             1985.   2007.   2320.   2046.   1859. 
2019     1796.   1548.   1754.   1860.   1882.   2078.   2030.   2000.   2033.   2348.   2072.   1884. 
2020     1829.   1588.   1800.   1911.   1930.   2128.   2075.   2043.   2081.   2403.   2123.   1930. 
2021     1873.   1625.   1838.   1939.   1974.   2177.   2124.   2094.   2130.   2461.   2180.   1984. 
2022     1937.   1703.   1921.   2016.   2040.   2252.   2185.   2148.   2163.   2501.   2215.   2013. 
   3
2018                                                             6540.   7125.   6840.   6033.   5580. 
2019     4999.   4904.   4119.   4862.   5187.   6173.   7102.   7679.   8291.   7840.   6790.   6153. 
2020     5420.   5247.   4407.   5063.   5394.   6407.   7339.   7882.   8434.   7964.   6860.   6203. 
2021     5655.   5474.   4622.   5278.   5612.   6642.   7593.   8128.   8690.   8207.   7081.   6417. 
2022     5884.   5697.   4843.   5496.   5834.   6866.   7836.   8400.   8979.   8486.   7343.   6656. 
   4
2018                                                              186.    192.    194.    189.    189. 
2019      158.    140.    141.    142.    151.    158.    155.    187.    193.    195.    190.    190. 
2020      158.    140.    141.    142.    151.    158.    155.    187.    193.    195.    190.    190. 
2021      158.    140.    141.    147.    156.    162.    159.    191.    196.    198.    193.    194. 
2022      163.    145.    147.    147.    156.    162.    159.    191.    196.    198.    193.    194. 
 999
